Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Su, Y; Wen, SP; Luo, XJ; Xue, FH; Wu, SJ; Yuan, BZ; Lu, XZ; Cai, CX; Jiang, LP; Wu, P; Zhu, JJ",,,,"Su, Yu; Wen, Shengping; Luo, Xiaojun; Xue, Feihu; Wu, Shaojun; Yuan, Baozhen; Lu, Xuanzhao; Cai, Chenxin; Jiang, Li-Ping; Wu, Ping; Zhu, Jun-Jie",,,Highly Biocompatible Plasmonically Encoded Raman Scattering Nanoparticles Aid Ultrabright and Accurate Bioimaging,ACS APPLIED MATERIALS & INTERFACES,,,,,,,,,,,,"Plasmonically engineered nanomaterials based on Au-Ag for surface-enhanced Raman scattering (SERS)-based biomedicine is of great importance but is still far behind clinical needs because of the poor compatibility between sensitivity and safety. Here, robust plasmonically encoded Raman scattering nanoparticles, named Au core-Raman-active molecule-Ag shell-Au shell nanoparticles (CMSS NPs), were synthesized. The as-developed CMSS NPs possess a unique exterior ultrathin Au shell (similar to 2.2 nm thickness) that plays double key roles as an effective wrapping layer as well as a plasmonic enhancing layer, thereby showing not only extraordinary stability against oxidative damages and bioerosion but also outstanding SERS sensitivity because of the stronger in-built electromagnetic field, achieving a significant SERS enhancement factor of 3.3 x 10(8). The results confirm that the individual CMSS NPs show ultrahigh brightness, reproducibility, selectivity, and biocompatibility in single-cell Raman imaging. Moreover, ultrabright in vivo tumor imaging with 1 x 1 mm(2) area can be quickly achieved within 35 s under open-air condition. Furthermore, by secondary plasmonic encoding, the CMSS NPs flexibly serve as nanobeacon to monitor single-cell autophagy with improved accuracy. The CMSS NPs are expected as versatile SERS probes that enable ultrabright, fast, and precise Raman-based bioimaging and clinical bioapplications.",,,,,"Zhu, Junjie/G-5867-2012; Wen, Shengping/D-8794-2012","Wen, Shengping/0000-0002-7907-4445; Su, Yu/0000-0002-4430-9371; Luo, Xiaojun/0000-0002-3899-0105",,,,,,,,,,,,,1944-8244,1944-8252,,,,13-Jan,2021,13,1,,,,,135,147,,10.1021/acsami.0c16683,http://dx.doi.org/10.1021/acsami.0c16683,,,,,,,,33356115,,,,,WOS:000611066000010,View Full Record in Web of Science
J,"Han, RX; Xiao, Y; Yang, Q; Pan, M; Hao, Y; He, XL; Peng, JR; Qian, ZY",,,,"Han, Ruxia; Xiao, Yao; Yang, Qian; Pan, Meng; Hao, Ying; He, Xinlong; Peng, Jinrong; Qian, Zhiyong",,,Ag2S nanoparticle-mediated multiple ablations reinvigorates the immune response for enhanced cancer photo-immunotherapy,BIOMATERIALS,,,,,,,,,,,,"Photothermal therapy (PTT) has been widely used in cancer treatment in recent years. However, it is difficult to completely eliminate tumors by single PTT, and the effects of single dose of PTT frequency on the therapeutic outcome of PTT and the multiple PTT-induced immune response in cancer therapy also remain unclear. Here, water-soluble Ag2S nanoparticles (NPs) with optimal particle size (similar to 15 nm) were synthesized and used as the PTT agents. The in vitro and in vivo results demonstrated that Ag2S NPs had good photothermal conversion in response to the irradiation of an 808 nm laser, and the results indicated that the NPs have potential as contrast agents for photoacoustic imaging as well as good biocompatibility. The in vivo results further revealed that the frequency of the Ag2S NP-mediated PTT affected the cancer therapeutic outcome. The increase of frequency efficiently reduced the primary tumor recurrence and alleviated metastasis. The present study suggested that the mechanism involves multiple PTT cycles inhibiting the proliferation of primary tumor cells and stimulating the systematic immune response in the mouse breast cancer model. Therefore, frequency optimization in photothermal ablation may provide a promising strategy to enhance the therapeutic outcome in cancer therapy.",,,,,"Yang, Qian/T-1065-2019; Peng, Jin/HZH-6965-2023","Yang, Qian/0000-0003-3243-3153; Qian, ZhiYong/0000-0003-2992-6424",,,,,,,,,,,,,0142-9612,1878-5905,,,,JAN,2021,264,,,,,,,,120451,10.1016/j.biomaterials.2020.120451,http://dx.doi.org/10.1016/j.biomaterials.2020.120451,,,,,,,,33069133,,,,,WOS:000587813600018,View Full Record in Web of Science
J,"Liu, YM; Bailey, JT; Abu-Laban, M; Li, SE; Chen, C; Glick, AB; Hayes, DJ",,,,"Liu, Yiming; Bailey, Jacob T.; Abu-Laban, Mohammad; Li, Shue; Chen, Cong; Glick, Adam B.; Hayes, Daniel J.",,,"Photocontrolled miR-148b nanoparticles cause apoptosis, inflammation and regression of Ras induced epidermal squamous cell carcinomas in mice",BIOMATERIALS,,,,,,,,,,,,"Despite evidence that microRNAs (miRNAs) are essential in modulating tumorigenesis, a major challenge in cancer treatment is to achieve tumor-specific selectivity and efficient yet safe delivery of miRNAs in vivo. In this study, we have developed a light-inducible silver nanoparticle nucleic acid delivery system that demonstrates precise spatiotemporal control, high cellular uptake, low cytotoxicity, escape from endosomes and release of functional miRNA into the cytosol. Using this approach, we delivered exogenous miR-148b to induce apoptosis in Ras-expressing keratinocytes and murine squamous cell carcinoma cells while avoiding cytotoxicity in untransformed keratinocytes. When administered to transgenic mice with HRas(G12V)-driven skin tumors, a single dose of silver nanoparticle conjugates followed by 415 nm LED irradiation at the tumor site caused a rapid and sustained reduction in tumor volume by 92.8%, recruited T cells to the tumor site, and acted as a potent immunomodulator by polarizing the cytokine balance toward Th1 both locally and systemically. In summary, our results demonstrate that spatiotemporal controlled miR-148b mimic delivery can promote tumor regression efficiently and safely.",,,,,,,,,,,,,,,,,,,0142-9612,1878-5905,,,,OCT,2020,256,,,,,,,,120212,10.1016/j.biomaterials.2020.120212,http://dx.doi.org/10.1016/j.biomaterials.2020.120212,,,,,,,,32736169,,,,,WOS:000564323600003,View Full Record in Web of Science
J,"Li, Y; Cho, MH; Lee, SS; Lee, DE; Cheong, H; Choi, Y",,,,"Li, Yan; Cho, Mi Hyeon; Lee, Seon Sook; Lee, Dong-Eun; Cheong, Heesun; Choi, Yongdoo",,,Hydroxychloroquine-loaded hollow mesoporous silica nanoparticles for enhanced autophagy inhibition and radiation therapy,JOURNAL OF CONTROLLED RELEASE,,,,,,,,,,,,"Radiotherapy (RT) is a major modality for cancer treatment, along with surgery and chemotherapy. Despite its therapeutic effect, the recurrence and metastasis of tumors due to the acquired resistance of cancer cells to RT remain significant clinical problems. Therefore, it is imperative to overcome radioresistance and improve radiosensitivity in cancer patients. Here, we synthesized hydroxychloroquine (HCQ)-loaded hollow mesoporous silica nanoparticles (HMSNs) to enable effective inhibition of radiation-induced cytoprotective autophagy and enhance the therapeutic efficacy of RT. HCQ-HMSN-treated HCT116 colon cancer cells showed a 200-fold higher intracellular uptake of HCQ than that of free HCQ-treated cells, thereby effectively inhibiting the radiation-induced autophagy of cancer cells. In vivo imaging and therapy studies of a tumor xenograft model showed preferential accumulation of HCQ-HMSNs in tumor tissues and significant enhancement of RT by inhibiting autophagy in the tumor sites. Histopathology analyses of major organs, blood chemistry profiles, and changes in body weights of mice confirmed the good biocompatibility of HCQ-HMSNs.",,,,,,"Cho, mi hyeon/0000-0001-9429-4692; Cheong, Heesun/0000-0003-1946-107X",,,,,,,,,,,,,0168-3659,1873-4995,,,,10-Sep,2020,325,,,,,,100,110,,10.1016/j.jconrel.2020.06.025,http://dx.doi.org/10.1016/j.jconrel.2020.06.025,,,,,,,,32621826,,,,,WOS:000560148400008,View Full Record in Web of Science
J,"Cheng, K; Zhang, RY; Yang, XQ; Zhang, XS; Zhang, F; An, J; Wang, ZY; Dong, Y; Liu, B; Zhao, YD; Liu, TC",,,,"Cheng, Kai; Zhang, Ruo-Yun; Yang, Xiao-Quan; Zhang, Xiao-Shuai; Zhang, Fang; An, Jie; Wang, Zhuo-Ya; Dong, Ying; Liu, Bo; Zhao, Yuan-Di; Liu, Tian-Cai",,,One-for-All Nanoplatform for Synergistic Mild Cascade-Potentiated Ultrasound Therapy Induced with Targeting Imaging-Guided Photothermal Therapy,ACS APPLIED MATERIALS & INTERFACES,,,,,,,,,,,,"Ameliorated therapy based on the tumor micro-environment is becoming increasingly popular, yet only a few methods have achieved wide recognition. Herein, targeting multi-functional hydrophilic nanomicelles, AgBiS2@DSPE-PEG(2000)-FA (ABS-FA), were obtained and employed for tumor treatment. In a cascade amplification mode, ABS-FA exhibited favorable properties of actively enhancing computed tomography/infrared (CT/IR) imaging and gently relieving ambient oxygen concentration by cooperative photothermal and sonodynamic therapy. Compared with traditional Bi2S3 nanoparticles, the CT imaging capability of the probe was augmented (43.21%), and the photothermal conversion efficiency was increased (33.1%). Furthermore, remarkable ultrasonic dynamic features of ABS-FA were observed, with increased generation of reactive oxygen species (24.3%) being obtained compared to Ce6, a commonly used sonosensitizer. Furthermore, ABS-FA exhibited obvious inhibitory effects on HeLa cell migration at 6 mu g/mL, which to some extent, demonstrated its suppressive effect on tumor growth. A lower dose, laser and ultrasonic power, and shorter processing time endowed ABS-FA with excellent photothermal and sonodynamic effects. By mild cascade mode, the hypoxic condition of the tumor site was largely improved, and a suitable oxygen-rich environment was provided, thereby endowing ABS-FA with a superior synergistically enhanced treatment effect compared with the single-mode approach, which ultimately realized the purpose of one injection, multiple treatment. Moreover, our data showed that ABS-FA was given with a biological safety profile while harnessing in vivo. Taken together, as a synergistically enhanced medical diagnosis and treatment method, the one-for-all nanoplatform will pave a new avenue for further clinical applications.",,,,,,"cheng, kai/0000-0002-7918-3465; Liu, Tiancai/0000-0002-2985-3766",,,,,,,,,,,,,1944-8244,1944-8252,,,,9-Sep,2020,12,36,,,,,40052,40066,,10.1021/acsami.0c10475,http://dx.doi.org/10.1021/acsami.0c10475,,,,,,,,32806885,,,,,WOS:000571433500011,View Full Record in Web of Science
J,"Ji, Y; Liu, XS; Li, J; Xie, XD; Huang, M; Jiang, JH; Liao, YP; Donahue, T; Meng, H",,,,"Ji, Ying; Liu, Xiangsheng; Li, Juan; Xie, Xiaodong; Huang, Max; Jiang, Jinhong; Liao, Yu-Pei; Donahue, Timothy; Meng, Huan",,,Use of ratiometrically designed nanocarrier targeting CDK4/6 and autophagy pathways for effective pancreatic cancer treatment,NATURE COMMUNICATIONS,,,,,,,,,,,,"Aberrant cell cycle machinery and loss of the CDKN2A tumor suppressor locus make CDK4/6 a potential target in pancreatic ductal adenocarcinoma (PDAC). However, a vast majority of PDAC cases do not harbor a durable response to monotherapy of CDK4/6 inhibitor. Utilizing remote loading to co-encapsulate CDK4/6 inhibitor palbociclib (PAL) and an autophagy inhibitor hydroxychloroquine (HCQ), we demonstrate a ratiometrically designed mesoporous silica nanoformulation with synergistic efficacy in subcutaneous and orthotopic PDAC mouse models. The synergism is attributed to the effective intratumoral buildup of PAL/HCQ, which otherwise exhibit distinctly different circulatory and biodistribution profile. PAL/HCQ co-delivery nanoparticles lead to the most effective shrinkage of PDAC compared to various controls, including free drug mixture. Immunohistochemistry reveals that PAL/HCQ co-delivery nanoparticles trigger anti-apoptotic pathway after repetitive intravenous administrations in mice. When combined with a Bcl inhibitor, the performance of co-delivery nanoparticles is further improved, leading to a long-lasting anti-PDAC effect in vivo.",,,,,"Liu, Xiangsheng/W-3288-2019; Meng, Huan/AAM-1072-2020; Xie, Xiaodong/HGA-0606-2022; Meng, Huan/T-7954-2017","Liu, Xiangsheng/0000-0002-5719-2838; Meng, Huan/0000-0001-8844-3938; Xie, Xiaodong/0000-0002-9088-8167; Meng, Huan/0000-0001-8844-3938; Li, Juan/0000-0003-4110-3295; JI, YING/0000-0001-8850-2184",,,,,,,,,,,,,,2041-1723,,,,25-Aug,2020,11,1,,,,,,,4249,10.1038/s41467-020-17996-7,http://dx.doi.org/10.1038/s41467-020-17996-7,,,,,,,,32843618,,,,,WOS:000567537300008,View Full Record in Web of Science
J,"Huang, N; Liu, YQ; Fang, YS; Zheng, ST; Wu, JH; Wang, MH; Zhong, W; Shi, M; Xing, M; Liao, WJ",,,,"Huang, Na; Liu, Yuqing; Fang, Yisheng; Zheng, Siting; Wu, Jianhua; Wang, Miaohong; Zhong, Wen; Shi, Min; Xing, Malcolm; Liao, Wangjun",,,Gold Nanoparticles Induce Tumor Vessel Normalization and Impair Metastasis by Inhibiting Endothelial Smad2/3 Signaling,ACS NANO,,,,,,,,,,,,"Gold nanoparticles (AuNPs) are a promising nanomaterial due to their drug-delivery properties and inherent anti-neoplastic activity. Here, we focused on the anti-neoplastic effects of an improved targeting polymer and folic acid-modified gold nanoparticles (AuNPP-FA) without therapeutic drugs. AuNPP-FA inhibited tumor proliferation both in vitro and in vivo, and tumor metastasis was controlled in vivo. We also found that, in addition to inhibiting tumor angiogenesis, AuNPP-FA normalized tumor vasculature by increasing pericyte coverage and strengthening tight junctions by upregulating VE-cadherin (VE-cad) levels on endothelial cells. This decreased vascular permeability, improved vascular perfusion, and alleviated tissue hypoxia. The immunotherapeutic response was enhanced due to the increased infiltration of CD3(+)038(+) T lymphocytes. AuNPP-FA increased the expression and secretion of semaphorin 3A (SEMA3A) in cancer cells to further inhibit Smad2/3 signaling in human umbilical vein endothelial cells (HUVECs). This normalized tumor vasculature and inhibited metastasis. In conclusion, AuNPP-FA normalized tumor vasculature; therefore, AuNPP-FA has great potential for future clinical applications.",,,,,,"Huang, Na/0000-0001-7961-0677; Wu, Jianhua/0000-0003-4142-8903; xing, malcolm/0000-0002-3547-0462",,,,,,,,,,,,,1936-0851,1936-086X,,,,28-Jul,2020,14,7,,,,,7940,7958,,10.1021/acsnano.9b08460,http://dx.doi.org/10.1021/acsnano.9b08460,,,,,,,,32413258,,,,,WOS:000557762800023,View Full Record in Web of Science
J,"Li, SH; Song, XR; Zhu, W; Chen, YL; Zhu, R; Wang, LP; Chen, X; Song, JB; Yang, HH",,,,"Li, Shihua; Song, Xiaorong; Zhu, Wei; Chen, Yongling; Zhu, Rong; Wang, Liping; Chen, Xian; Song, Jibin; Yang, Huanghao",,,Light-Switchable Yolk-Mesoporous Shell UCNPs@MgSiO3 for Nitric Oxide-Evoked Multidrug Resistance Reversal in Cancer Therapy,ACS APPLIED MATERIALS & INTERFACES,,,,,,,,,,,,"Gas therapy has emerged as a forceful strategy for augmenting the effects of chemotherapeutic drugs against cancer cells. However, it remains extremely challenging to effectively deliver gas into tissues of interest and unravel its underlying mechanisms. Herein, we designed a near-infrared (NIR) light-switchable nitric oxide (NO) delivery nanosystem for high-efficacy multidrug resistance (MDR) reversal in cancer therapy based on a yolk-shell upconverting nanoparticles@magnesium silica (UCNP@MgSiO3). The internal hollow cavity and flower-like mesoporous shell of UCNPs@MgSiO3 not only enabled a significantly high encapsulation capacity for the NO precursor (BNN6) and doxorubicin (DOX) but also allowed the enhanced cellular uptake, resulting in NIR-triggered NO generation and low pH-triggered DOX release in cancer cells. Mechanistically, intracellular NO can downregulate the drug efflux-related P-glycoprotein and adenosine 5'-triphosphate-binding cassette transporters, thereby increasing the DOX accumulation in the cell nuclei. Such combination therapy of NO and DOX induced the apoptosis of MDR cells and completely inhibited in vivo MDR tumor growth. We further elucidated the therapy mechanism via proteomic profiling, showcasing the downregulation of the ubiquitin-proteasome pathway and nuclear factor kappa-B signaling pathway in the NO-treated MDR cells. Therefore, our findings develop a promising nanoscale gas/drug delivery paradigm for fighting MDR tumors and providing molecular insights into cancer therapy.",,,,,"Song, Jibin/AAF-7947-2021; Song, Xiao-Rong/H-2147-2016","Song, Xiao-Rong/0000-0001-5484-0978",,,,,,,,,,,,,1944-8244,1944-8252,,,,8-Jul,2020,12,27,,,,,30066,30076,,10.1021/acsami.0c06102,http://dx.doi.org/10.1021/acsami.0c06102,,,,,,,,32393026,,,,,WOS:000550633400005,View Full Record in Web of Science
J,"Vares, G; Jallet, V; Matsumoto, Y; Rentier, C; Takayama, K; Sasaki, T; Hayashi, Y; Kumada, H; Sugawara, H",,,,"Vares, Guillaume; Jallet, Vincent; Matsumoto, Yoshitaka; Rentier, Cedric; Takayama, Kentaro; Sasaki, Toshio; Hayashi, Yoshio; Kumada, Hiroaki; Sugawara, Hirotaka",,,Functionalized mesoporous silica nanoparticles for innovative boron-neutron capture therapy of resistant cancers,NANOMEDICINE-NANOTECHNOLOGY BIOLOGY AND MEDICINE,,,,,,,,,,,,"Treatment resistance, relapse and metastasis remain critical issues in some challenging cancers, such as chondrosarcomas. Boron-neutron capture therapy (BNCT) is a targeted radiation therapy modality that relies on the ability of boron atoms to capture low energy neutrons, yielding high linear energy transfer alpha particles. We have developed an innovative boron-delivery system for BNCT, composed of multifunctional fluorescent mesoporous silica nanoparticles (B-MSNs), grafted with an activatable cell penetrating peptide (ACPP) for improved penetration in tumors and with gadolinium for magnetic resonance imaging (MRI) in vivo. Chondrosarcoma cells were exposed in vitro to an epithermal neutron beam after B-MSNs administration. BNCT beam exposure successfully induced DNA damage and cell death, including in radio-resistant ALDH+ cancer stem cells (CSCs), suggesting that BNCT using this system might be a suitable treatment modality for chondrosarcoma or other hard-to-treat cancers. (C) 2020 Elsevier Inc. All rights reserved.",,,,,"Rentier, Cedric/K-6490-2016; Vares, Guillaume/A-9257-2011","Rentier, Cedric/0000-0002-2028-494X; Vares, Guillaume/0000-0002-6191-9032",,,,,,,,,,,,,1549-9634,1549-9642,,,,JUL,2020,27,,,,,,,,102195,10.1016/j.nano.2020.102195,http://dx.doi.org/10.1016/j.nano.2020.102195,,,,,,,,32278101,,,,,WOS:000549858200008,View Full Record in Web of Science
J,"Lozano-Torres, B; Blandez, JF; Galiana, I; Garcia-Fernandez, A; Alfonso, M; Marcos, MD; Orzaez, M; Sancenon, F; Martinez-Manez, R",,,,"Lozano-Torres, Beatriz; Blandez, Juan F.; Galiana, Irene; Garcia-Fernandez, Alba; Alfonso, Maria; Marcos, Maria D.; Orzaez, Mar; Sancenon, Felix; Martinez-Manez, Ramon",,,Real-Time In Vivo Detection of Cellular Senescence through the Controlled Release of the NIR Fluorescent Dye Nile Blue,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,,,,,,,,,,,,"In vivo detection of cellular senescence is accomplished by using mesoporous silica nanoparticles loaded with the NIR-FDA approved Nile blue (NB) dye and capped with a galactohexasaccharide (S3). NB emission at 672 nm is highly quenched inside S3, yet a remarkable emission enhancement is observed upon cap hydrolysis in the presence of beta-galactosidase and dye release. The efficacy of the probe to detect cellular senescence is tested in vitro in melanoma SK-Mel-103 and breast cancer 4T1 cells and in vivo in palbociclib-treated BALB/cByJ mice bearing breast cancer tumor.",,,,,"Martinez-Manez, Ramon/O-8915-2014; Lozano, Beatriz/AAV-4194-2021; Blandez, Juan F F/AAW-4936-2021; Orzaez, Mar/B-4992-2014","Martinez-Manez, Ramon/0000-0001-5873-9674; Lozano, Beatriz/0000-0003-1556-9139; Orzaez, Mar/0000-0003-3231-5835; Sancenon, Felix/0000-0002-5205-7135; Blandez Barradas, Juan Francisco/0000-0002-7395-998X; Garcia Fernandez, Alba/0000-0002-8416-1674",,,,,,,,,,,,,1433-7851,1521-3773,,,,24-Aug,2020,59,35,,,,,15152,15156,,10.1002/anie.202004142,http://dx.doi.org/10.1002/anie.202004142,,20-Jun,,,,,,32416002,,,,,WOS:000538742100001,View Full Record in Web of Science
