PMID,Journal/Book,Publication_Year,DOI,Type,Subtype,Route,Sub-route,Size_Group,Charge_Group,Shape,Coating_Number,Total_Coating_Steps_Group,Targeting_Type,Bioconjugation_nature,PEG_Coat,Therapeutic_Molecule_Type,Dose_Group,IC50,Delivery_Efficiency_Values,Delivery_Efficiency,Distribution Half-life_(h),Tumor_model,Immune status,Cancer_type,Breast cancer subtype,No._Days_dosing_grouped,Tumor_Vol_Reduction_(%),Tumor_Vol_Reduction_Group(%),Off_target_1_accumulation_(%),Off_target_2_accumulation_(%),Off_target_3_accumulation_(%),Off_target_1_accumulation,Off_target_2_accumulation,Off_target_3_accumulation,Therapy_A,Therapy_B,Therapy_C,Combined_Therapy_Grouped,Study strategy,Imaging_A,Imaging_B,Imaging_C,Imaging_D
16734494,J Am Chem Soc,2006,10.1021/ja061529k,Inorganic,Iron oxide,Systemic,IV,10~100 nm,Not Reported,Sphere,Monolayer,Medium,Passive,None,PEGylated,None,10~50 mg/kg,No,Not Reported,No,Not Reported,Xenograft heterotopic,Not Reported,Other,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,None,None,None,None,Diagnosis,MRI,None,None,None
17530850,J Am Chem Soc,2007,10.1021/ja071471p,Inorganic,Gold,Systemic,IV,10~100 nm,Not Reported,Sphere,Monolayer,Low,Passive,None,PEGylated,None,>50 mg/kg,No,Not Reported,No,Not Reported,Allograft orthotopic,Immunocompetent,Liver,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,None,None,None,None,Diagnosis,CT,None,None,None
17892287,J Am Chem Soc,2007,10.1021/ja072210i,Inorganic,Iron oxide,Systemic,IV,10~100 nm,Negative,Sphere,Multilayer,High,Passive,None,PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Allograft heterotopic,Immunocompetent,Lung,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Lung,Liver,Kidney,None,None,None,None,Diagnosis,MRI,Fluorescence,None,None
17962085,Nanomedicine,2007,10.1016/j.nano.2007.09.001,Inorganic,Gold,Systemic,IV,10~100 nm,Not Reported,Sphere,Monolayer,Low,Passive,None,Non PEGylated,None,10~50 mg/kg,No,2.56,Yes,Not Reported,Allograft orthotopic,Immunocompetent,Skin,Not Applicable,Single-dose,Not Reported,Not Reported,4176.2,2826.6,1476.6,Spleen,Lung,Liver,None,None,None,None,Diagnosis,Other,None,None,None
17964647,Biomaterials,2008,10.1016/j.biomaterials.2007.08.050,Inorganic,Iron oxide,Systemic,IV,100~200 nm,Not Reported,Sphere,Monolayer,Low,Passive,None,Non PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Allograft orthotopic,Immunocompetent,Brain,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,None,None,None,None,Diagnosis,MRI,None,None,None
18232053,Small,2008,10.1002/smll.200700784,Inorganic,Iron oxide,Systemic,IV,Not Reported,Not Reported,Sphere,Multilayer,High,Active,Covalent,PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Brain,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,None,None,None,None,Diagnosis,MRI,None,None,None
18500805,J Am Chem Soc,2008,10.1021/ja802003h,Inorganic,Iron oxide,Systemic,IV,0~10 nm,Not Reported,Sphere,Monolayer,Low,Active,Covalent,Non PEGylated,None,Not Reported,Yes,Not Reported,No,Not Reported,Xenograft orthotopic,Not Reported,Brain,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,None,None,None,None,Diagnosis,MRI,None,None,None
18551493,Angew Chem Int Ed Engl,2008,10.1002/anie.200800857,Inorganic,Iron oxide,Systemic,IV,10~100 nm,Negative,Sphere,Multilayer,Medium,Passive,None,PEGylated,Anthracycline,Not Reported,No,Not Reported,No,Not Reported,Allograft heterotopic,Immunocompetent,Lung,Not Applicable,Multiple-dose,64.15101721,Low,Not Reported,Not Reported,Not Reported,Liver,Kidney,Lung,Chemotherapy,None,None,Monotherapy,Theragnosis,MRI,None,None,None
18642918,J Am Chem Soc,2008,10.1021/ja801631c,Inorganic,Gold,Systemic,IV,10~100 nm,Not Reported,Sphere,Multilayer,Medium,Passive,None,PEGylated,Photosensitizer,Not Reported,No,Not Reported,No,Not Reported,Not Reported,Not Reported,Not Reported,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Photodynamic therapy,None,None,Monotherapy,Theragnosis,Fluorescence,None,None,None
18676207,Nanomedicine,2008,10.1016/j.nano.2008.05.004,Inorganic,Iron oxide,Systemic,IV,100~200 nm,Positive,Sphere,Monolayer,Medium,Active,Covalent,Non PEGylated,None,Not Reported,No,Not Reported,No,Not Reported,Xenograft heterotopic,Immunocompromised,Pancreas,Not Applicable,Single-dose,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,None,None,None,None,Diagnosis,Fluorescence,None,None,None
