Coating_Number_['No coating' 'Monolayer' 'Multilayer'],Combined_Applications_['1' '2' '3' '4' '5' '6'],Combined_Applications_Grouped_['Regular' 'High' 'Very High'],Combined_Imaging_Applications_['0' '1' '2' '3' '4'],Combined_Therapy_Applications_['0' '1' '2' '3'],Combined_Therapy_Grouped_['None' 'Monotherapy' 'Combination therapy'],Total_Coating_Steps_['0' '1' '2' '3' '4' '5' '6' '7' '8' '9' '11' '12'],Total_Coating_Steps_Group_['None' 'Low' 'Medium' 'High' 'Very High'],Covalent_['0.0' '1.0' '2.0' '3.0' '4.0' '5.0' '6.0' '7.0' '9.0' '11.0' '12.0'],Electrostatic_['0.0' '1.0' '2.0' '3.0' '4.0' '5.0'],Loading_Number_['None' '1' '>1'],No._Days_dosing_['1' '2' '3' '4' '5' '6' '7' '8' '9' '10' '11' '12' '13' '14' '15' '>15'],No._Days_dosing_grouped_['Single-dose' 'Multiple-dose'],Size_Group_['0~10 nm' '10~100 nm' '100~200 nm' '>200 nm'],Bioconjugation_nature_Covalent,Bioconjugation_nature_Electrostatic,Bioconjugation_nature_None,Bioconjugation_tech_Covalent - Click,Bioconjugation_tech_Covalent - Disulfide,Bioconjugation_tech_Covalent - EDC,Bioconjugation_tech_Covalent - In_Shell,Bioconjugation_tech_Covalent - Maleimide,Bioconjugation_tech_Covalent - Maleimide-like,Bioconjugation_tech_Covalent - NHS,Bioconjugation_tech_Covalent - ThiolGold,Bioconjugation_tech_Electrostatic,Bioconjugation_tech_None,Coating_Antibody,Coating_Drugs,Coating_Glycosides,Coating_None,Coating_Nucleic acid,Coating_Nucleic acid-Drugs,Coating_Nucleic acids-peptides,Coating_Other,Coating_Peptide,Coating_Peptide-Drugs,Coating_Polymer,Coating_Polymer-Affibody,Coating_Polymer-Drugs,Coating_Polymer-Nucleic acid,Coating_Polymer-Proteins,Coating_Polymer-mAb,Coating_Polymer-nucleic acid,Coating_Polymer-nucleic acids,Coating_Polymer-peptide,Coating_Polymer-peptides,Coating_Proteins,Coating_Proteins-Drugs,Coating_Vitamins,PEG_Coat_Non PEGylated,PEG_Coat_PEGylated,PEG_Coat_tech_Covalent - Acrylate,PEG_Coat_tech_Covalent - Click,PEG_Coat_tech_Covalent - Disulfide,PEG_Coat_tech_Covalent - EDC,PEG_Coat_tech_Covalent - In_Shell,PEG_Coat_tech_Covalent - Iron,PEG_Coat_tech_Covalent - NHS,PEG_Coat_tech_Covalent - SN2,PEG_Coat_tech_Covalent - Silane,PEG_Coat_tech_Covalent - Sn2,PEG_Coat_tech_Covalent - ThiolGold,PEG_Coat_tech_Covalent - electrostatic,PEG_Coat_tech_Electrostatic,PEG_Coat_tech_Electrostatic ,PEG_Coat_tech_None,PEG_Coat_tech_Others,Shape_Other,Shape_Rod,Shape_Spherical,Study strategy_Diagnosis,Study strategy_Theragnosis,Study strategy_Therapy,Subtype_Gold,Subtype_Hybrid,Subtype_Iron oxide,Subtype_Silica,Targeting_Type_Active,Targeting_Type_Passive,Cancer_type_Brain,Cancer_type_Breast,Cancer_type_Cervix,Cancer_type_Colon,Cancer_type_Gastric,Cancer_type_Liver,Cancer_type_Lung,Cancer_type_Other,Cancer_type_Ovary,Cancer_type_Pancreas,Cancer_type_Prostate,Cancer_type_Skin,Tumor_model_Allograft heterotopic,Tumor_model_Allograft orthotopic,Tumor_model_Other,Tumor_model_Xenograft heterotopic,Tumor_model_Xenograft orthotopic,Route_Local,Route_Systemic,Sub-route_IV,Sub-route_Intratumoral,Sub-route_Other,Loading_Antibody-NPs,Loading_Drugs,Loading_Drugs-NPs,Loading_Nanoparticle,Loading_None,Loading_Nucleic acids,Loading_Other,Loading_Peptides,Loading_Proteins,Therapy_type_Chemotherapy,Therapy_type_Gene therapy,Therapy_type_Immunotherapy,Therapy_type_Magnetic hyperthermia,Therapy_type_None,Therapy_type_Other,Therapy_type_Photoacoustic therapy,Therapy_type_Photodynamic therapy,Therapy_type_Photothermal therapy,Therapy_type_Radiofrequency,Therapy_type_Radiotherapy,Therapy_type_Ultrasound,Imaging_type_CT,Imaging_type_Fluorescence,Imaging_type_Luminescence,Imaging_type_MRI,Imaging_type_None,Imaging_type_Other,Imaging_type_PET,Imaging_type_Photoacoustic,Imaging_type_Thermal imaging,Imaging_type_Ultrasound,Tumor_Vol_Reduction,binary_label,multiclass_label
2,1,0,1,1,1,4,2,2,2,0,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,64.15101721,0,1
1,0,0,0,1,1,2,1,2,0,1,14,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,99.88636364,1,4
1,0,0,0,1,1,1,1,1,0,1,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,71.0467706,0,1
1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,59.08304,0,1
2,0,0,0,1,1,2,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,96.63351186,1,3
1,0,0,0,1,1,1,1,0,1,1,9,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,72.99258408,0,1
2,0,0,0,1,1,5,3,4,1,1,6,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,55,0,1
2,1,0,1,1,1,3,2,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,74.02867558,0,1
2,1,0,1,1,1,4,2,1,3,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,54.18259947,0,1
1,0,0,0,1,1,2,1,2,0,1,11,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,87.20207254,0,2
